scenario_id,entry_point,source_service,source_business,destination,method,path,action,role,device_trust,purpose,data_grade,claimed_source_service,claimed_source_business,signature_mode,violation_type,expected_broad_policy,expected_finegrained_policy,mode,run_id,experiment_run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,28,policy_only-20260814T154448Z,A03-r028,200,allow,allow,true,16.195700,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,29,policy_only-20260814T154448Z,A03-r029,200,allow,allow,true,17.567900,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,30,policy_only-20260814T154448Z,A03-r030,200,allow,allow,true,17.489500,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,1,policy_only-20260814T154448Z,A04-r001,200,allow,allow,true,22.099400,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,2,policy_only-20260814T154448Z,A04-r002,200,allow,allow,true,18.521900,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,3,policy_only-20260814T154448Z,A04-r003,200,allow,allow,true,18.680000,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,4,policy_only-20260814T154448Z,A04-r004,200,allow,allow,true,18.035400,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,5,policy_only-20260814T154448Z,A04-r005,200,allow,allow,true,17.413900,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,6,policy_only-20260814T154448Z,A04-r006,200,allow,allow,true,17.732100,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,7,policy_only-20260814T154448Z,A04-r007,200,allow,allow,true,17.318700,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,8,policy_only-20260814T154448Z,A04-r008,200,allow,allow,true,17.234000,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,9,policy_only-20260814T154448Z,A04-r009,200,allow,allow,true,16.271300,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,10,policy_only-20260814T154448Z,A04-r010,200,allow,allow,true,17.674100,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,11,policy_only-20260814T154448Z,A04-r011,200,allow,allow,true,16.671200,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,12,policy_only-20260814T154448Z,A04-r012,200,allow,allow,true,15.818300,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,13,policy_only-20260814T154448Z,A04-r013,200,allow,allow,true,16.047700,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,14,policy_only-20260814T154448Z,A04-r014,200,allow,allow,true,15.970500,
A04,call,loan,loan,approval,POST,/approval-requests,submit_for_approval,loan_reviewer,trusted,loan_approval,S,,,,,allow,allow,policy_only,15,policy_only-20260814T154448Z,A04-r015,200,allow,allow,true,16.205900,
