mode,experiment_run_id,attempt_id,source_business,destination,role,purpose,action,method,status_code,actual,latency_ms,error,audit_decision,audit_reason,is_execution_error
proposed,policyspace-proposed-20260818T021831Z,PS-credit-customer-loan_reviewer-loan_screening,credit,customer,loan_reviewer,loan_screening,/customer-profile/CASE-0001,GET,403,deny,5.978900,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-credit-loan-loan_approver-loan_approval,credit,loan,loan_approver,loan_approval,/loan-review/CASE-0001,GET,403,deny,5.957700,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-credit-loan-loan_approver-loan_screening,credit,loan,loan_approver,loan_screening,/loan-review/CASE-0001,GET,403,deny,8.229000,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-credit-loan-loan_reviewer-loan_approval,credit,loan,loan_reviewer,loan_approval,/loan-review/CASE-0001,GET,403,deny,5.953800,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-credit-loan-loan_reviewer-loan_screening,credit,loan,loan_reviewer,loan_screening,/loan-review/CASE-0001,GET,403,deny,7.120600,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-customer-aml-loan_approver-loan_approval,customer,aml,loan_approver,loan_approval,/aml-screening,POST,403,deny,19.949400,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-customer-aml-loan_approver-loan_screening,customer,aml,loan_approver,loan_screening,/aml-screening,POST,403,deny,5.864700,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-customer-aml-loan_reviewer-loan_approval,customer,aml,loan_reviewer,loan_approval,/aml-screening,POST,403,deny,5.995300,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-customer-aml-loan_reviewer-loan_screening,customer,aml,loan_reviewer,loan_screening,/aml-screening,POST,403,deny,6.142400,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-customer-approval-loan_approver-loan_approval,customer,approval,loan_approver,loan_approval,/approval-requests,POST,403,deny,6.518600,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-customer-approval-loan_approver-loan_screening,customer,approval,loan_approver,loan_screening,/approval-requests,POST,403,deny,7.094400,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-customer-approval-loan_reviewer-loan_approval,customer,approval,loan_reviewer,loan_approval,/approval-requests,POST,403,deny,5.584800,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-customer-approval-loan_reviewer-loan_screening,customer,approval,loan_reviewer,loan_screening,/approval-requests,POST,403,deny,7.023100,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-customer-credit-loan_approver-loan_approval,customer,credit,loan_approver,loan_approval,/credit-assessment,POST,403,deny,5.754600,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-customer-credit-loan_approver-loan_screening,customer,credit,loan_approver,loan_screening,/credit-assessment,POST,403,deny,7.699400,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-customer-credit-loan_reviewer-loan_approval,customer,credit,loan_reviewer,loan_approval,/credit-assessment,POST,403,deny,5.361700,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-customer-credit-loan_reviewer-loan_screening,customer,credit,loan_reviewer,loan_screening,/credit-assessment,POST,403,deny,7.417800,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-customer-loan-loan_approver-loan_approval,customer,loan,loan_approver,loan_approval,/loan-review/CASE-0001,GET,403,deny,5.531900,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-customer-loan-loan_approver-loan_screening,customer,loan,loan_approver,loan_screening,/loan-review/CASE-0001,GET,403,deny,5.457500,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-customer-loan-loan_reviewer-loan_approval,customer,loan,loan_reviewer,loan_approval,/loan-review/CASE-0001,GET,403,deny,7.283000,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-customer-loan-loan_reviewer-loan_screening,customer,loan,loan_reviewer,loan_screening,/loan-review/CASE-0001,GET,403,deny,5.744700,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-loan-aml-loan_approver-loan_approval,loan,aml,loan_approver,loan_approval,/aml-screening,POST,403,deny,26.909900,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-loan-aml-loan_approver-loan_screening,loan,aml,loan_approver,loan_screening,/aml-screening,POST,403,deny,5.812100,,deny,role_purpose_action_mismatch,false
