scenario_id,entry_point,source_service,source_business,destination,method,path,action,role,device_trust,purpose,data_grade,claimed_source_service,claimed_source_business,signature_mode,violation_type,expected_baseline,expected_proposed,mode,run_id,experiment_run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,16,baseline-20260814T012845Z,A02-r016,200,allow,allow,true,16.243200,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,17,baseline-20260814T012845Z,A02-r017,200,allow,allow,true,15.933600,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,18,baseline-20260814T012845Z,A02-r018,200,allow,allow,true,15.991000,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,19,baseline-20260814T012845Z,A02-r019,200,allow,allow,true,16.828600,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,20,baseline-20260814T012845Z,A02-r020,200,allow,allow,true,15.834500,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,21,baseline-20260814T012845Z,A02-r021,200,allow,allow,true,15.483800,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,22,baseline-20260814T012845Z,A02-r022,200,allow,allow,true,16.590400,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,23,baseline-20260814T012845Z,A02-r023,200,allow,allow,true,15.976500,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,24,baseline-20260814T012845Z,A02-r024,200,allow,allow,true,16.046000,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,25,baseline-20260814T012845Z,A02-r025,200,allow,allow,true,15.945800,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,26,baseline-20260814T012845Z,A02-r026,200,allow,allow,true,16.146200,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,27,baseline-20260814T012845Z,A02-r027,200,allow,allow,true,15.998300,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,28,baseline-20260814T012845Z,A02-r028,200,allow,allow,true,16.662200,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,29,baseline-20260814T012845Z,A02-r029,200,allow,allow,true,19.318400,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,30,baseline-20260814T012845Z,A02-r030,200,allow,allow,true,18.087300,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,1,baseline-20260814T012845Z,A03-r001,200,allow,allow,true,22.387400,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,2,baseline-20260814T012845Z,A03-r002,200,allow,allow,true,19.049300,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,3,baseline-20260814T012845Z,A03-r003,200,allow,allow,true,20.611000,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,4,baseline-20260814T012845Z,A03-r004,200,allow,allow,true,21.381900,
