mode,experiment_run_id,attempt_id,source_business,destination,role,purpose,action,method,status_code,actual,latency_ms,error,audit_decision,audit_reason,is_execution_error
baseline,policyspace-baseline-20260818T014436Z,PS-credit-customer-loan_approver-loan_approval,credit,customer,loan_approver,loan_approval,/customer-profile/CASE-0001,GET,200,allow,16.223000,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-credit-customer-loan_approver-loan_screening,credit,customer,loan_approver,loan_screening,/customer-profile/CASE-0001,GET,200,allow,13.628200,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-credit-customer-loan_reviewer-loan_approval,credit,customer,loan_reviewer,loan_approval,/customer-profile/CASE-0001,GET,200,allow,13.707900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-credit-customer-loan_reviewer-loan_screening,credit,customer,loan_reviewer,loan_screening,/customer-profile/CASE-0001,GET,200,allow,14.384400,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-credit-loan-loan_approver-loan_approval,credit,loan,loan_approver,loan_approval,/loan-review/CASE-0001,GET,200,allow,13.819100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-credit-loan-loan_approver-loan_screening,credit,loan,loan_approver,loan_screening,/loan-review/CASE-0001,GET,200,allow,13.711100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-credit-loan-loan_reviewer-loan_approval,credit,loan,loan_reviewer,loan_approval,/loan-review/CASE-0001,GET,200,allow,14.193700,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-credit-loan-loan_reviewer-loan_screening,credit,loan,loan_reviewer,loan_screening,/loan-review/CASE-0001,GET,200,allow,13.839100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-customer-aml-loan_approver-loan_approval,customer,aml,loan_approver,loan_approval,/aml-screening,POST,200,allow,42.941200,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-customer-aml-loan_approver-loan_screening,customer,aml,loan_approver,loan_screening,/aml-screening,POST,200,allow,15.953000,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-customer-aml-loan_reviewer-loan_approval,customer,aml,loan_reviewer,loan_approval,/aml-screening,POST,200,allow,15.512700,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-customer-aml-loan_reviewer-loan_screening,customer,aml,loan_reviewer,loan_screening,/aml-screening,POST,200,allow,15.213100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-customer-approval-loan_approver-loan_approval,customer,approval,loan_approver,loan_approval,/approval-requests,POST,200,allow,16.227000,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-customer-approval-loan_approver-loan_screening,customer,approval,loan_approver,loan_screening,/approval-requests,POST,200,allow,17.281600,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-customer-approval-loan_reviewer-loan_approval,customer,approval,loan_reviewer,loan_approval,/approval-requests,POST,200,allow,16.330000,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-customer-approval-loan_reviewer-loan_screening,customer,approval,loan_reviewer,loan_screening,/approval-requests,POST,200,allow,15.991900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-customer-credit-loan_approver-loan_approval,customer,credit,loan_approver,loan_approval,/credit-assessment,POST,200,allow,16.134900,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-customer-credit-loan_approver-loan_screening,customer,credit,loan_approver,loan_screening,/credit-assessment,POST,200,allow,16.174700,,allow,baseline_broad_authenticated_access,false
