flow,batch_id,decision_ms_median,total_ms_median,n,mode
loan_to_approval,1,1.2219704999836267,11.447498999984873,200,policy_only
loan_to_approval,2,1.2365484999747878,11.492219000018622,200,policy_only
loan_to_approval,3,1.243765499964411,11.445050000020274,200,policy_only
loan_to_approval,4,1.2504875000161064,11.536663500010036,200,policy_only
loan_to_approval,5,1.2503769999625547,11.493913500004282,200,policy_only
loan_to_approval,6,1.2550984999961656,11.6921350000041,200,policy_only
loan_to_approval,7,1.2417774999846642,11.359273500005429,200,policy_only
loan_to_approval,8,1.2295655000116312,11.386243000004015,200,policy_only
loan_to_approval,9,1.2471054999991793,11.53131800001006,200,policy_only
loan_to_approval,10,1.2011875000155214,11.408415999994759,200,policy_only
loan_to_approval,11,1.22585400001185,11.326477499977727,200,policy_only
loan_to_approval,12,1.2299635000090348,11.419909500006042,200,policy_only
loan_to_approval,13,1.2319845000092755,11.417883500001835,200,policy_only
loan_to_approval,14,1.2313795000125083,11.372761999979275,200,policy_only
loan_to_approval,15,1.2421989999893412,11.53860700000564,200,policy_only
loan_to_approval,16,1.2452004999943256,11.483093000009603,200,policy_only
loan_to_approval,17,1.2291769999990265,11.387848999987682,200,policy_only
loan_to_approval,18,1.266877999995586,11.592014000029849,200,policy_only
loan_to_approval,19,1.2605489999657493,11.437306999994235,200,policy_only
loan_to_approval,20,1.2354860000129975,11.454549000006864,200,policy_only
loan_to_approval,21,1.233746500020061,11.473436500011758,200,policy_only
loan_to_approval,22,1.2380834999987655,11.516701000005014,200,policy_only
loan_to_approval,23,1.2537265000105435,11.496722000032378,200,policy_only
loan_to_approval,24,1.2651844999709283,11.51396100001989,200,policy_only
loan_to_approval,25,1.2493085000073734,11.525600500021937,200,policy_only
loan_to_approval,26,1.2359409999760373,11.46212550000314,200,policy_only
loan_to_approval,27,1.2592655000105424,11.486096999988149,200,policy_only
loan_to_approval,28,1.264156500013769,11.5569344999642,200,policy_only
loan_to_approval,29,1.2279874999876483,11.364808500019308,200,policy_only
loan_to_approval,30,1.2399240000036116,11.45375399997306,200,policy_only
loan_to_credit,1,1.2538434999953552,11.581345000010401,200,policy_only
loan_to_credit,2,1.2365034999959335,11.711671500009402,200,policy_only
loan_to_credit,3,1.254953000014325,11.725140500004727,200,policy_only
loan_to_credit,4,1.2389920000117627,11.623879999987707,200,policy_only
loan_to_credit,5,1.2368619999989505,11.55322699997896,200,policy_only
loan_to_credit,6,1.2572395000063352,11.648702000002231,200,policy_only
loan_to_credit,7,1.260080999998081,11.596335999996654,200,policy_only
loan_to_credit,8,1.2128815000096438,11.479832499986742,200,policy_only
loan_to_credit,9,1.2495515000097157,11.74878999998441,200,policy_only
loan_to_credit,10,1.263360500004751,11.583226999988483,200,policy_only
loan_to_credit,11,1.2307870000114463,11.494325999990451,200,policy_only
loan_to_credit,12,1.249959500015052,11.528461000011703,200,policy_only
loan_to_credit,13,1.2595419999996693,11.731638500009467,200,policy_only
loan_to_credit,14,1.2546324999931358,11.450152499989485,200,policy_only
loan_to_credit,15,1.2598269999841705,11.620416999988947,200,policy_only
loan_to_credit,16,1.2611195000005182,11.642840999996906,200,policy_only
loan_to_credit,17,1.2447649999955956,11.592774000007466,200,policy_only
