mode,experiment_run_id,attempt_id,source_business,destination,role,purpose,action,path,method,status_code,actual,latency_ms,error,audit_decision,audit_reason,is_execution_error
proposed,policyspace-proposed-20260819T023031Z,PS-customer-aml-loan_approver-loan_approval,customer,aml,loan_approver,loan_approval,request_aml_screening,/aml-screening,POST,403,deny,22.046000,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-customer-aml-loan_approver-loan_screening,customer,aml,loan_approver,loan_screening,request_aml_screening,/aml-screening,POST,403,deny,6.696300,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-customer-aml-loan_reviewer-loan_approval,customer,aml,loan_reviewer,loan_approval,request_aml_screening,/aml-screening,POST,403,deny,6.988100,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-customer-aml-loan_reviewer-loan_screening,customer,aml,loan_reviewer,loan_screening,request_aml_screening,/aml-screening,POST,403,deny,7.278300,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-customer-approval-loan_approver-loan_approval,customer,approval,loan_approver,loan_approval,submit_for_approval,/approval-requests,POST,403,deny,6.069000,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-customer-approval-loan_approver-loan_screening,customer,approval,loan_approver,loan_screening,submit_for_approval,/approval-requests,POST,403,deny,6.778900,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-customer-approval-loan_reviewer-loan_approval,customer,approval,loan_reviewer,loan_approval,submit_for_approval,/approval-requests,POST,403,deny,5.563700,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-customer-approval-loan_reviewer-loan_screening,customer,approval,loan_reviewer,loan_screening,submit_for_approval,/approval-requests,POST,403,deny,5.529600,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-customer-credit-loan_approver-loan_approval,customer,credit,loan_approver,loan_approval,request_credit_assessment,/credit-assessment,POST,403,deny,7.510500,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-customer-credit-loan_approver-loan_screening,customer,credit,loan_approver,loan_screening,request_credit_assessment,/credit-assessment,POST,403,deny,6.847700,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-customer-credit-loan_reviewer-loan_approval,customer,credit,loan_reviewer,loan_approval,request_credit_assessment,/credit-assessment,POST,403,deny,5.867800,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-customer-credit-loan_reviewer-loan_screening,customer,credit,loan_reviewer,loan_screening,request_credit_assessment,/credit-assessment,POST,403,deny,6.353300,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-customer-loan-loan_approver-loan_approval,customer,loan,loan_approver,loan_approval,read_review_package,/loan-review/CASE-0001,GET,403,deny,6.165700,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-customer-loan-loan_approver-loan_screening,customer,loan,loan_approver,loan_screening,read_review_package,/loan-review/CASE-0001,GET,403,deny,5.556500,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-customer-loan-loan_reviewer-loan_approval,customer,loan,loan_reviewer,loan_approval,read_review_package,/loan-review/CASE-0001,GET,403,deny,7.058800,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-customer-loan-loan_reviewer-loan_screening,customer,loan,loan_reviewer,loan_screening,read_review_package,/loan-review/CASE-0001,GET,403,deny,5.430000,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-loan-aml-loan_approver-loan_approval,loan,aml,loan_approver,loan_approval,request_aml_screening,/aml-screening,POST,403,deny,8.295200,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-loan-aml-loan_approver-loan_screening,loan,aml,loan_approver,loan_screening,request_aml_screening,/aml-screening,POST,403,deny,6.677000,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-loan-aml-loan_reviewer-loan_approval,loan,aml,loan_reviewer,loan_approval,request_aml_screening,/aml-screening,POST,403,deny,8.132800,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-loan-aml-loan_reviewer-loan_screening,loan,aml,loan_reviewer,loan_screening,request_aml_screening,/aml-screening,POST,200,allow,18.366100,,allow,role_based_microsegment_policy,false
proposed,policyspace-proposed-20260819T023031Z,PS-loan-approval-loan_approver-loan_approval,loan,approval,loan_approver,loan_approval,submit_for_approval,/approval-requests,POST,403,deny,7.153600,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-loan-approval-loan_approver-loan_screening,loan,approval,loan_approver,loan_screening,submit_for_approval,/approval-requests,POST,403,deny,8.490600,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-loan-approval-loan_reviewer-loan_approval,loan,approval,loan_reviewer,loan_approval,submit_for_approval,/approval-requests,POST,200,allow,21.214600,,allow,role_based_microsegment_policy,false
proposed,policyspace-proposed-20260819T023031Z,PS-loan-approval-loan_reviewer-loan_screening,loan,approval,loan_reviewer,loan_screening,submit_for_approval,/approval-requests,POST,403,deny,8.377500,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-loan-credit-loan_approver-loan_approval,loan,credit,loan_approver,loan_approval,request_credit_assessment,/credit-assessment,POST,403,deny,6.571000,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-loan-credit-loan_approver-loan_screening,loan,credit,loan_approver,loan_screening,request_credit_assessment,/credit-assessment,POST,403,deny,6.958700,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-loan-credit-loan_reviewer-loan_approval,loan,credit,loan_reviewer,loan_approval,request_credit_assessment,/credit-assessment,POST,403,deny,6.341600,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-loan-credit-loan_reviewer-loan_screening,loan,credit,loan_reviewer,loan_screening,request_credit_assessment,/credit-assessment,POST,200,allow,18.662600,,allow,role_based_microsegment_policy,false
proposed,policyspace-proposed-20260819T023031Z,PS-loan-customer-loan_approver-loan_approval,loan,customer,loan_approver,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,7.466300,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-loan-customer-loan_approver-loan_screening,loan,customer,loan_approver,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,6.217400,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-loan-customer-loan_reviewer-loan_approval,loan,customer,loan_reviewer,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,8.327800,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-loan-customer-loan_reviewer-loan_screening,loan,customer,loan_reviewer,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,200,allow,18.660500,,allow,role_based_microsegment_policy,false
